,time,tweet,country,retweet_count,sentiment
99,2019-11-21 21:24:05,nct wayv 127 taekook jikook au smut fluff nsfw 18 iphone11 rt like deal promo gc gain mutuals kpop bts twice fancam mommy daddy follow spam ariana grande shawn mendes one direction 1D shane jeffree stan fortnite joker sco paa to manaa bomboclaat ,India,114559,Neutral
275,2019-11-21 15:23:22, Excited to share this item from my etsy shop Basketball Fever 2 Case Mate Tough Phone Cases ,France,114559,Neutral
20,2019-11-22 00:27:34,It finally happened iphone11 after one week has really impressed me First time since 2011 literally that I ll probably split my time equally between it and my favorite Android device Well done Apple,France,1846,Positive
252,2019-11-21 16:10:45,Because iphone dont have 5g phones Mostly new phones that came out is pack with 5g Pixel4 note10 s10 lgv50 except iphone11 Donald Trump says he asked Tim Cook to help build out 5G in the US ,Canada,1846,Neutral
357,2019-11-21 12:46:17, Apple has launched its third generation of smart battery cases for the iPhone 11 11 Pro and 11 Pro Max iPhone11ProMax iphone11 Photo IANS ,Unknown,1506,Neutral
562,2019-11-21 04:36:06, Wallpapers homescreen Background walls Free iPhone11Pro iPhone11 4K Soon galaxys9 galaxys8 GalaxyNote9 amp Be ,Unknown,385,Positive
186,2019-11-21 18:15:34, soulkshopmy off sadly that i use iPhone11 right now but the iPhone cases are really cute I want it poor me,United States,353,Neutral
537,2019-11-21 05:05:19,iPhone11,United States,278,Neutral
273,2019-11-21 15:25:54,Just got this iPhone11 I miss my iPhone8 ,Netherlands,232,Neutral
206,2019-11-21 17:27:48, New Wallpaper Electronics Link Wallpapers wallphone artwork art Abstract abstractart ,Unknown,186,Neutral
695,2019-11-20 23:35:56, Wallpapers Apple Background wallpaper walls lockscreen homescreen painter Private Disk N 0039 iPhone11 iPhone11Pro ,United States,170,Neutral
471,2019-11-21 08:13:02, WhatsApp video security bug leaves devices open to attack and hackers secretly steal chat messages and pictures from y ,Australia,170,Neutral
30,2019-11-22 00:08:02,Online MysteryBox Sale Unbox iPhone 11 Pro Gold or Midnight Green at no cost iPhone11 ,Unknown,155,Neutral
822,2019-11-20 19:42:35, wallpapers homescreen lockscreen LiquidLounge Vol2 Delirium wallpaper for iPhone11ProMax iPhone11Pro iPhon ,Singapore,117,Neutral
980,2019-11-20 15:31:31, new for iPhone and iPad iPhone11 iPhone11ProMax iPhone11Pro iPhone IPHONE11TH iPhoneVsAndroidMaps iPhone7 IPhone11Challenge ipad ipad2019 ipadpro iPadAir2019 ipadAir ipad iPadAir3 iPad iPad Apps,Unknown,59,Neutral
440,2019-11-21 09:30:17,iPhone 11 Pro Whitestone Dome Glass installation PROTECT YOUR DEVICE WITH THE BEST GLASS SCREEN PROTECTOR WhitestoneDomeGlass ,United States,38,Positive
180,2019-11-21 18:27:10, iPhone11 here i come ,United States,35,Neutral
780,2019-11-20 21:08:44, Readily AVAILABLE NOW iPhone11 Series5 4 amp 3 iPad Pro 2019 Macs Free Delivery Call WhatsApp ,United States,35,Positive
736,2019-11-20 22:46:14, STCPay Fast and Affordable International remittance STCPay IPhone11 STCPay,Unknown,33,Neutral
441,2019-11-21 09:28:52, Wallpapers Apple Background wallpaper walls lockscreen homescreen painter Private Disk N 0041 iPhone11 iPhone11Pro iPhone11ProMax iPhoneX iPhoneXSMAX iPhoneXSMax iPhoneXR Other iPhones gt gt Like Follow Retweet lt lt Prod By Hk3ToN ,United States,33,Neutral
379,2019-11-21 12:17:42, RyanKGives Iphone11,Australia,31,Neutral
791,2019-11-20 20:37:47,iPhone 11 Cases w images of Van Gogh s Paintings Now on ETSY The Starry Night Design 1 The Starry Night Design 2 Cafe Terrace at Night etsy iPhone11 etsysellers etsystore etsygifts ,Singapore,30,Neutral
348,2019-11-21 13:00:46,The BEST Screen Protector for iPhone 11 Whitestone Dome Tempered Glass iPhone11 iPhone11ProMax iPhone11Pro Keep your device scratch free with Dome Glass ,Australia,28,Positive
747,2019-11-20 22:31:08, SASCO KSA All day long IPhone11 STCPay,France,24,Neutral
449,2019-11-21 08:46:26,giveaway Wallpapers homescreen Background walls Free iPhone11Pro iPhone11 4K Soon galaxys9 galaxys8 GalaxyNote9 amp Be ,Singapore,24,Positive
190,2019-11-21 18:07:50,Check out one of our latest products a Superfly Air Slim iPhone11 Clear get yours here shop onlineshopping shoponline,United States,24,Neutral
586,2019-11-21 03:58:11, Forbes doing all the work for you by placing all of Apple deals in one place AirPod Pros for 230 200 off the iPhone11 and 200 off of the iPad Pro 256gb Now whats your excuse for not getting your sister anything Christmas2019,France,24,Neutral
585,2019-11-21 03:59:12,4 days to my birthday birthday boy freelance AbuDhabi goodmorning November iPhone11 love SundayMotivation TGIF Sondland Amazon ,Unknown,24,Positive
661,2019-11-21 00:54:23,iPhone xr 125 iPhone Xs 125 iPhone XS Max 150 iPhone 11 200 iPhone 11 pro 250 Come shop cheap iPhones iphones iphoneforlow methods dumps pins cc apple iphone11 cheap cashappflip cashflip money explore ,Australia,24,Positive
831,2019-11-20 19:30:21,iPhone 11 Pro Whitestone Dome NEW Installation Process How To iPhone11 iPhone11Pro iPhone11ProMax PROTECT YOUR DEVICE WITH DOME GLASS ,United States,24,Neutral
972,2019-11-20 15:46:02,I m impressed with the Night Shooting Mode on the iPhone11 Pro Sraight from the camera ,Unknown,24,Positive
812,2019-11-20 19:57:14, SACOKSA Best App IPhone11 STCPay,India,24,Positive
428,2019-11-21 10:00:00,Winter Is Here Order The Purple 64GB iPhone11 EE With Unlimited Minutes Texts amp 30GB Of Data 1 Swappable Benefit EE Lifetime Guarantee Annual Device amp Account MOT With 10 Off Screen Protectors amp Cases SAVE 300 Trading The iPhoneX Love Tech iOS13 ,Unknown,24,Positive
906,2019-11-20 17:39:56, Wallpapers homescreen Background walls Free iPhone11Pro iPhone11 4K Soon galaxys9 galaxys8 GalaxyNote9 amp Below iPhoneX iPhoneXS iPhoneXSMax iPhoneXR iPhones gt gt Like Follow Retweet lt lt Prod By Hk3ToN ,Australia,24,Positive
892,2019-11-20 18:21:17, my phone is perfectly fine but oomf just kinda convinced me to get the iphone11 before Mariah shows so my pics will be in bette ,Unknown,24,Positive
925,2019-11-20 17:02:17, 191016 yixing updated his also known as Oasis It s basically a new app launched by Sina Weibo which is similar to I ,India,24,Neutral
927,2019-11-20 16:52:47, New Wallpaper Midnight Yarok Free Link Wallpapers wallphone artwork art Abstract abst ,Unknown,24,Neutral
946,2019-11-20 16:24:30, first 50 to like and retweet gets 2000 sugarbabywanted sugardaddyneeded sugardaddies SugarDaddySerious sugarmomma S ,Unknown,24,Neutral
951,2019-11-20 16:19:08, Cant wait to get myself a new Apple Mac iPhone 11 and Data Who wishes the same I might hook you up iPhone11 ShoMad ,Singapore,24,Neutral
700,2019-11-20 23:23:21, timcook strongest in the world france24 RTnews nhk news AlJazeera bbc bbcnews tech Android npr nprnews MA ,Canada,24,Neutral
470,2019-11-21 08:13:34, darwinshacho mga 721 milk iPhone11,Canada,24,Neutral
682,2019-11-21 00:10:50, Apple thanks for charging my phone and giving me a time lapse on the iphone11 ,United States,24,Neutral
781,2019-11-20 21:06:54,Been thinking What Kind of Dark Crystal Gelfling Id be I think I am not Pure clan but a Hybrid DrenchGrot What are you Tiz Me iphone11 productred dreamfast greatcamera justme makeupartist ,Unknown,23,Neutral
179,2019-11-21 18:30:01, hsieh zachary I entered the 1st ever iPhone11 giveaway and has currently entered the new ones so I m hoping I get lucky ,Canada,23,Neutral
