,time,tweet,country,retweet_count,sentiment
134,2019-11-20 11:03:49, It s Blackpink s Lisa on the GalaxyS10  ,Unknown,11910,Neutral
220,2019-11-19 08:50:02,  iKON x Samsung GalaxyS10 Launch Event at Manila Say hello in Manila Philippines Last greeting at Samsung Galaxy S ,Unknown,9951,Neutral
37,2019-11-21 09:42:09, A battery with the power to share power GalaxyS10,United States,1245,Neutral
74,2019-11-21 01:41:23, The next generation GalaxyS10 has arrived Don t miss the moment when it gets unveiled in India RT or this tweet to ,Unknown,1150,Neutral
460,2019-11-16 06:11:10, Do you want to be the NextGenerationFan Here s what you should do Relive the global Unpacked Event  ,India,385,Neutral
595,2019-11-15 04:21:57, Share your answer in the comments using PowerOf10 and stand a chance to win a GalaxyS10 A 14 000 B 17 000 C ,India,226,Positive
407,2019-11-16 22:52:51, The Enjin Wallet is built for HODLers Samsung Blockchain Keystore integration Proven cutting edge security Ad free zero ,United States,93,Neutral
131,2019-11-20 12:02:36,  GalaxyS10 software update alert Take a closer look at how some of the Note10 s innovative and convenient features work on th ,United States,58,Positive
512,2019-11-15 19:39:34, Starting TODAY buy a select SamsungMobile GalaxyS10 or GalaxyNote10 device and get one ON US Keep one and gift the oth ,United States,56,Neutral
526,2019-11-15 18:59:53,Starting TODAY buy a select SamsungMobile GalaxyS10 or GalaxyNote10 device and get one ON US Keep one and gift the other or just keep both for yourself Whatever you choose to do this early holidayseason TMobile has you covered UnrealDeals  ,Unknown,56,Neutral
111,2019-11-20 16:08:04, Let your newest discovery be our newest wallpapers Science themed work by Ketnipz burnttoastcre8v MulgatheArtist ,Unknown,55,Neutral
593,2019-11-15 04:38:05, Welcome to the world of Galaxy Buy a GalaxyNote10 or GalaxyS10 and avail special offers Go ahead choose a combo you ,India,48,Positive
448,2019-11-16 08:27:29, Enjoy the most colourful Holi moments with the Next Generation GalaxyS10 where every hue every emotion looks better th ,Unknown,38,Positive
61,2019-11-21 05:01:10, Put some scream in your screen Halloween wallpapers by gemmacorrell TRNZ MulgatheArtist and more are prowling th ,South Africa,35,Positive
228,2019-11-19 06:21:18, What do you prefer Wired or Wireless mobile samsung technology galaxy galaxynote10 galaxynote10plus galaxys1 ,India,20,Neutral
241,2019-11-19 05:00:14,What do you prefer Wired or Wireless mobile samsung technology galaxy galaxynote10 galaxynote10plus galaxys10plus galaxys10 tablet watch smartwatch  ,Netherlands,20,Neutral
0,2019-11-21 14:47:55,  GalaxyS11 could have up to 57 more battery capacity than the GalaxyS10 Read more   samsung te ,Bangladesh,18,Positive
25,2019-11-21 12:47:25, GalaxyS11 could have up to 57 more battery capacity than the GalaxyS10 Read more   samsung technology rumor tech mobile phone smartphone galaxy S10 S11  ,Netherlands,18,Positive
347,2019-11-17 23:45:19, Boom gt Powered by the Qualcomm Snapdragon 855 and equipped with multi gigabit 5G the premium SamsungMobile GalaxyS1 ,United States,17,Neutral
557,2019-11-15 13:05:01, Samsung understands that all you want is to simplify your daily life amp that s what we ve been working on for years We prese ,Indonesia,14,Neutral
560,2019-11-15 13:00:15,Samsung understands that all you want is to simplify your daily life amp that s what we ve been working on for years We presented Bixby in 2017 to simplify your tasks with easy commands So NeverAfraid to explore many things with GalaxyS10 More info  ,Indonesia,14,Positive
261,2019-11-18 22:03:08, I m living in the future Used CashApp to withdraw 0 01 btc Used a USB to USB C Samsung adapter to connect my new ,Unknown,12,Neutral
267,2019-11-18 21:31:38,I m living in the future Used CashApp to withdraw 0 01 btc Used a USB to USB C Samsung adapter to connect my new OPENDIME to my GalaxyS10 Easily set up the drive from my phone Sent my bitcoin to be HODL d safe and sound I m a fan of SoundMoney  ,United States,12,Neutral
380,2019-11-17 09:06:35, the gross sisters grosssisters proudfamily nubia gine olei theproudfamily disneyplus disney phonecas ,United States,11,Neutral
538,2019-11-15 14:54:40, The brand new GalaxyS10 has arrived Experience the powerful processing power courtesy of Exynos9820 ExynosGalaxyS10 ,India,11,Neutral
403,2019-11-16 23:17:46,the gross sisters grosssisters proudfamily nubia gine olei theproudfamily disneyplus disney phonecases customcases iphone8plus iphone11promax iphone11 galaxys10 galaxys9 iphonex galaxys10plus iphonexsmas iphonexr sketch graffiti art blackartists  ,United States,11,Neutral
573,2019-11-15 09:27:34,With an overall DXOMARK Audio score of 66 the Samsung GalaxyNote10 Plus 5G by SamsungMobile like its LTE sibling is among the top Android phones in our Audio ranking beating its smaller sibling GalaxyS10 Plus by one point Read the full review  ,France,9,Neutral
